"@timestamp","process.command_line","process.executable","process.working_directory","process.pid","process.parent.pid","process.user.id"
"Nov 1, 2023 @ 23:56:10.139","/bin/sh /sbin/dhclient-script","/usr/bin/dash","""/""",1808718,500,0
"Nov 1, 2023 @ 23:56:10.139","mkdir -p /run/chrony-dhcp","/usr/bin/mkdir","""/""",1808730,1808718,0
"Nov 1, 2023 @ 23:56:10.139","ip -4 600 dev enp1s0 label enp1s0 addr change 192.168.1.2/255.255.255.0 broadcast 192.168.1.255 valid_lft 600 preferred_lft","/usr/bin/ip","""/""",1808720,1808718,0
"Nov 1, 2023 @ 23:56:10.139","run-parts --list /etc/dhcp/dhclient-enter-hooks.d","/usr/bin/run-parts","""/""",1808719,1808718,0
"Nov 1, 2023 @ 23:55:19.998","ip -4 600 dev enp1s0 label enp1s0 addr change 192.168.1.2/255.255.255.0 broadcast 192.168.1.255 valid_lft 600 preferred_lft","/usr/bin/ip","""/""",1808706,1808704,0
"Nov 1, 2023 @ 23:55:19.998","mkdir -p /run/chrony-dhcp","/usr/bin/mkdir","""/""",1808716,1808704,0
"Nov 1, 2023 @ 23:55:19.998","sed -e /^nameserver/!b ENDOFCYCLE -e s/$/ / -e s/\([:. ]\)0\+/\10/g -e s/\([:. ]\)0\([123456789abcdefABCDEF][[:xdigit:]]*\)/\1\2/g -e /::/b ENDOFCYCLE; s/ \(0[: ]\)\+/ ::/ -e s/#.*$// /::/b ENDOFCYCLE; s/:\(0[: ]\)\+/::/ -e : ENDOFCYCLE - -e s/[[:blank:]]\+$// -e s/^[[:blank:]]\+// -e s/[[:blank:]]\+/ /g -e","/usr/bin/sed","""/run/resolvconf/interface""",1808712,1808711,0
"Nov 1, 2023 @ 23:55:19.998","/usr/bin/chronyc reload sources","/usr/bin/chronyc","""/""",1808717,1808704,0
"Nov 1, 2023 @ 23:55:19.998","/bin/sh /sbin/resolvconf -a enp1s0.dhclient","/usr/bin/dash","""/""",1808708,1808704,0
"Nov 1, 2023 @ 23:55:19.998","/bin/sh /sbin/dhclient-script","/usr/bin/dash","""/""",1808704,500,0
"Nov 1, 2023 @ 23:55:19.998","rm -f /run/chrony-dhcp/enp1s0.sources","/usr/bin/rm","""/""",1808715,1808704,0
"Nov 1, 2023 @ 23:55:19.998","run-parts --list /etc/dhcp/dhclient-enter-hooks.d","/usr/bin/run-parts","""/""",1808705,1808704,0
"Nov 1, 2023 @ 23:55:19.998","flock -w 10 9","/usr/bin/flock","""/run/resolvconf/interface""",1808709,1808708,0
"Nov 1, 2023 @ 23:55:19.998","run-parts --list /etc/dhcp/dhclient-exit-hooks.d","/usr/bin/run-parts","""/""",1808714,1808704,0
"Nov 1, 2023 @ 23:55:19.998","sed -e s/[[:blank:]]\+$// -e /^$/d","/usr/bin/sed","""/run/resolvconf/interface""",1808713,1808711,0
"Nov 1, 2023 @ 23:55:19.998","hostname -f","/usr/bin/hostname","""/""",1808703,672,0
"Nov 1, 2023 @ 23:54:39.967","mkdir -p /run/chrony-dhcp","/usr/bin/mkdir","""/""",1808700,1808688,0
"Nov 1, 2023 @ 23:54:39.967","/usr/bin/chronyc reload sources","/usr/bin/chronyc","""/""",1808701,1808688,0
"Nov 1, 2023 @ 23:54:39.967","sed -e /^nameserver/!b ENDOFCYCLE -e s/$/ / -e s/\([:. ]\)0\+/\10/g -e s/\([:. ]\)0\([123456789abcdefABCDEF][[:xdigit:]]*\)/\1\2/g -e /::/b ENDOFCYCLE; s/ \(0[: ]\)\+/ ::/ -e s/#.*$// /::/b ENDOFCYCLE; s/:\(0[: ]\)\+/::/ -e : ENDOFCYCLE - -e s/[[:blank:]]\+$// -e s/^[[:blank:]]\+// -e s/[[:blank:]]\+/ /g -e","/usr/bin/sed","""/run/resolvconf/interface""",1808696,1808695,0
